AddressCodeID,HouseNumber,StreetDorm,City,AddressNote,Longitude,Lattitude,FullAdress
2227,1101,Church St.,Ann Arbor,,,,1101 Church St.
557,725,Church St.,Ann Arbor,"Graduate League House, 1946-c.1955, took international and black students",,,725 Church St.
552,543,Church St. ,Ann Arbor,,,,543 Church St. 
1039,616,Church St. ,Ann Arbor,,,,616 Church St. 
1052,1115,Clague St.,Ann Arbor,,,,1115 Clague St.
1054,,(Clark St.),Ann Arbor,Neuropsychopathic Institute ,,,(Clark St.)
2110,391,Cloverdale St.,Ann Arbor,,,,391 Cloverdale St.
1056,2015,Commerce Drive,Ann Arbor,,,,2015 Commerce Drive
1057,2025,Commerce Drive,Ann Arbor,,,,2025 Commerce Drive
1058,2045,Commerce Drive,Ann Arbor,,,,2045 Commerce Drive
1059,2407,Concord Rd.,Ann Arbor,,,,2407 Concord Rd.
1060,,corner of 13th and Hickory Sts.,Ann Arbor,,,,corner of 13th and Hickory Sts.
558,,Corner of 14th and Washington,Ann Arbor,,42.280305,-83.733531,Corner of 14th and Washington
1061,,Corner of Ann and 13th,Ann Arbor,,,,Corner of Ann and 13th
1062,,corner of Catherine and Ingalls,Ann Arbor,,42.28312,-83.738537,corner of Catherine and Ingalls
1063,,corner of Fourth and Williams,Ann Arbor,,,,corner of Fourth and Williams
2207,,corner of Hill and Washtenaw,Ann Arbor,,,,corner of Hill and Washtenaw
1064,,Corner of Ingalls and Monroe,Ann Arbor,,,,Corner of Ingalls and Monroe
1065,,Corner of St. and Madison,Ann Arbor,,,,Corner of St. and Madison
1066,,Corner of State and Huron Sts.,Ann Arbor,,,,Corner of State and Huron Sts.
1068,1008,Cornwell Place,Ann Arbor,"Phi Rho Sigma House, 1900-1905",,,1008 Cornwell Place
15,,Couzens Hall,Ann Arbor,dorm,42.282068,-83.731912,Couzens Hall
559,1630,Cram Circle,Ann Arbor,,,,1630 Cram Circle
1071,1097,Cram Circle,Ann Arbor,,,,1097 Cram Circle
1072,1639,Cram Circle,Ann Arbor,,,,1639 Cram Circle
1073,1666,Cram Circle,Ann Arbor,,,,1666 Cram Circle
1074,16977,Cram Circle,Ann Arbor,,,,1697-7 Cram Circle
1075,2155,Cram Circle,Ann Arbor,,,,2155 Cram Circle
2177,2231,Cram Circle,Ann Arbor,,,,2231 Cram Circle
1076,1666,Cram Cirlce,Ann Arbor,,,,1666 Cram Cirlce
560,2155,Cram Place,Ann Arbor,,,,2155 Cram Place
562,2170,Cram Place,Ann Arbor,,,,2170 Cram Place
1077,212,Cram Place,Ann Arbor,,,,212 Cram Place
1078,215523,Cram Place,Ann Arbor,,,,2155-23 Cram Place
1079,2210,Cram Place,Ann Arbor,,,,2210 Cram Place
1080,2249,Cram Place,Ann Arbor,,,,2249 Cram Place
1081,2250,Cram Place,Ann Arbor,,,,2250 Cram Place
1082,2515,Cram Place,Ann Arbor,,,,2515 Cram Place
1083,615,Cressfield Lane,Ann Arbor,,,,615 Cressfield Lane
1087,812,Daniels St.,Ann Arbor,,,,812 Daniels St.
1088,1629,Darian Ct.,Ann Arbor,,,,1629 Darian Ct.
288,516,Detroit St.,Ann Arbor,,42.285222,-83.744489,516 Detroit St.
289,520,Detroit St.,Ann Arbor,,42.28528,-83.74437,520 Detroit St.
1094,501,Detroit St.,Ann Arbor,,,,501 Detroit St.
1095,920,Detroit St.,Ann Arbor,,42.286948,-83.743611,920 Detroit St.
1096,913,Dewey  St.,Ann Arbor,,,,913 Dewey  St.
2069,819,Dewey  St.,Ann Arbor,,,,819 Dewey  St.
290,939,Dewey St.,Ann Arbor,,,,939 Dewey St.
1097,943,Dewey St.,Ann Arbor,,,,943 Dewey St.
1098,945,Dewey St.,Ann Arbor,,,,945 Dewey St.
1099,3870,Dexter Rd.,Ann Arbor,,,,3870 Dexter Rd.
1100,335,Division St.,Ann Arbor,,,,335 Division St.
1101,919,Division St.,Ann Arbor,,,,919 Division St.
1102,305,Doty St.,Ann Arbor,,,,305 Doty St.
1105,925,Duncan St.,Ann Arbor,,,,925 Duncan St.
1107,1009,E. 12th St.,Ann Arbor,,,,1009 E. 12th St.
291,1009,E. Ann St.,Ann Arbor,,42.282496,-83.736676,1009 E. Ann St.
551,1136,E. Ann St.,Ann Arbor,,,,1136 E. Ann St.
564,1122,E. Ann St.,Ann Arbor,,,,1122 E. Ann St.
566,1200,E. Ann St.,Ann Arbor,,42.282321,-83.733381,1200 E. Ann St.
568,503,E. Ann St.,Ann Arbor,,,,503 E. Ann St.
569,710,E. Ann St.,Ann Arbor,,,,710 E. Ann St.
570,811,E. Ann St.,Ann Arbor,,,,811 E. Ann St.
1109,1004,E. Ann St.,Ann Arbor,,,,1004 E. Ann St.
1110,1015,E. Ann St.,Ann Arbor,,,,1015 E. Ann St.
1111,1126,E. Ann St.,Ann Arbor,,42.282015,-83.734084,1126 E. Ann St.
1112,115,E. Ann St.,Ann Arbor,,,,115 E. Ann St.
1113,121,E. Ann St.,Ann Arbor,,,,121 E. Ann St.
1114,13,E. Ann St.,Ann Arbor,,42.282353,-83.748291,13 E. Ann St.
1115,1313,E. Ann St.,Ann Arbor,,,,1313 E. Ann St.
1116,311,E. Ann St.,Ann Arbor,,,,311 E. Ann St.
1117,330,E. Ann St.,Ann Arbor,,,,330 E. Ann St.
1118,501,E. Ann St.,Ann Arbor,,,,501 E. Ann St.
1119,507,E. Ann St.,Ann Arbor,,,,507 E. Ann St.
1120,815,E. Ann St.,Ann Arbor,,,,815 E. Ann St.
1121,820,E. Ann St.,Ann Arbor,,,,820 E. Ann St.
1122,85,E. Ann St.,Ann Arbor,,,,85 E. Ann St.
2130,117,E. Ann St.,Ann Arbor,,42.282585,-83.747668,117 E. Ann St.
2146,606,E. Ann St.,Ann Arbor,,,,606 E. Ann St.
292,1102,E. Ann St.,Ann Arbor,Black women's student housing ,42.282273,-83.734856,1102 E. Ann St.
