id,AddressCodeID,HouseNumber,StreetDorm,City,AddressNote,address,latitude,longitude,
679,18.1,1654,Northwood Apts.,Ann Arbor,,1654 Northwood Apts.,42.297308,-83.709052,
680,18.2,1821,Northwood Apts.,Ann Arbor,,1821 Northwood Apts.,42.297308,-83.709052,
681,1561,,nw corner 14th and Washington,Ann Arbor,Mrs. Emily Jones,nw corner 14th and Washington,42.28043,-83.736546,put estimated corner of e. washington and 14th st from sanborn
695,1575,911,Olivia St.,Ann Arbor,,911 Olivia St.,42.271148,-83.731145,"olivia ave?, from google maps"
696,1576,6622,Orange Lane,Ann Arbor,,6622 Orange Lane,0,0,unsure
714,1594,,P-Lloyd,Ann Arbor,,P-Lloyd,0,0,unsure
749,1616,4212,Parker House,Ann Arbor,,4212 Parker House,0,0,unsure
753,490,136,Pasadena,Ann Arbor,zz,136 Pasadena,0,0,unsure
769,2246,136,Phillip St.,Ann Arbor,,136 Phillip St.,0,0,"unsure, maybe e. hoover"
775,1647,809,Plum St.,Ann Arbor,,809 Plum St.,0,0,unsure
776,1648,821,Plum St.,Ann Arbor,,821 Plum St.,0,0,unsure
778,1650,8060,Pontiac Lake Rd.,Ann Arbor,,8060 Pontiac Lake Rd.,0,0,unsure - in waterford township?? Couldn't find in ann arbor
781,1655,1061,Prospect Ave.,Ann Arbor,Toledo OH,1061 Prospect Ave.,0,0,in ohio
782,492,1109,Prospect Road,Ann Arbor,,1109 Prospect Road,42.26875,-83.73492,from google maps
783,493,1225,Prospect Road,Ann Arbor,,1225 Prospect Road,42.267435,-83.733499,prospect st?
784,1660,206,Rockingham Toledo,Ann Arbor,,206 Rockingham Toledo,0,0,unsure
785,1664,119,S. 14th St.,Ann Arbor,,119 S. 14th St.,42.280579,-83.736123,
786,1665,209,S. 14th St.,Ann Arbor,,209 S. 14th St.,42.280289,-83.736385,
787,1666,211,S. 14th St.,Ann Arbor,,211 S. 14th St.,42.280167,83.736327,
789,1668,2520,S. Beatrice,Ann Arbor,,2520 S. Beatrice,0,0,unsure
849,1710,3310,S. Liddesdale,Ann Arbor,,3310 S. Liddesdale,0,0,unsure
911,1762,3107,Scenic Lake Drive,Ann Arbor,,3107 Scenic Lake Drive,42.242417,-83.674066,from google maps
912,1763,1780,Scio Cchurch Rd.,Ann Arbor,,1780 Scio Cchurch Rd.,42.256806,-83.769302,scio church road? From google maps
938,1784,560,South Winter St.,Ann Arbor,,560 South Winter St.,0,0,unsure
944,2174,1113,State Rd.,Ann Arbor,,1113 State Rd.,42.268163,-83.740269,"unsure, put 1113 south state street from google maps"
954,1810,5436,Strawberry Lake Rd,Ann Arbor,,5436 Strawberry Lake Rd,0,0,unsure
955,1811,818,Strown St.,Ann Arbor,,818 Strown St.,0,0,unsure
956,1813,132,Summit St.,Ann Arbor,,132 Summit St.,0,0,unsure west or east
979,1840,,UM Fresh Air Camp,Ann Arbor,,UM Fresh Air Camp,0,0,unsure
980,321,1436,University Terrace,Ann Arbor,,1436 University Terrace,42.282029,-83.72721,cs. Motts a little past markley
981,323,1441,University Terrace,Ann Arbor,,1441 University Terrace,42.282029,-83.72721,
982,324,1444,University Terrace,Ann Arbor,,1444 University Terrace,42.282029,-83.72721,
983,325,1446,University Terrace,Ann Arbor,,1446 University Terrace,42.282029,-83.72721,
984,326,1447,University Terrace,Ann Arbor,,1447 University Terrace,42.282029,-83.72721,
985,327,1448,University Terrace,Ann Arbor,,1448 University Terrace,42.282029,-83.72721,
986,328,1454,University Terrace,Ann Arbor,,1454 University Terrace,42.282029,-83.72721,
987,329,1458,University Terrace,Ann Arbor,,1458 University Terrace,42.282029,-83.72721,
988,330,1462,University Terrace,Ann Arbor,,1462 University Terrace,42.282029,-83.72721,
989,1848,1119,University Terrace,Ann Arbor,,1119 University Terrace,42.282029,-83.72721,
990,1849,1427,University Terrace,Ann Arbor,,1427 University Terrace,42.282029,-83.72721,
991,1850,1429,University Terrace,Ann Arbor,,1429 University Terrace,42.282029,-83.72721,
992,1851,1431,University Terrace,Ann Arbor,,1431 University Terrace,42.282029,-83.72721,
993,1852,1438,University Terrace,Ann Arbor,,1438 University Terrace,42.282029,-83.72721,
994,1853,1443,University Terrace,Ann Arbor,,1443 University Terrace,42.282029,-83.72721,
995,1855,1452,University Terrace,Ann Arbor,,1452 University Terrace,42.282029,-83.72721,
996,1856,1456,University Terrace,Ann Arbor,,1456 University Terrace,42.282029,-83.72721,
997,1857,1459,University Terrace,Ann Arbor,,1459 University Terrace,42.282029,-83.72721,
998,1858,1460,University Terrace,Ann Arbor,,1460 University Terrace,42.282029,-83.72721,
999,1859,1464,University Terrace,Ann Arbor,,1464 University Terrace,42.282029,-83.72721,
1000,1860,1465,University Terrace,Ann Arbor,,1465 University Terrace,42.282029,-83.72721,
1001,1861,1467,University Terrace,Ann Arbor,,1467 University Terrace,42.282029,-83.72721,
1002,1862,1960,University Terrace,Ann Arbor,,1960 University Terrace,42.282029,-83.72721,
1003,1863,1962,University Terrace,Ann Arbor,,1962 University Terrace,42.282029,-83.72721,
1004,2066,1437,University Terrace,Ann Arbor,,1437 University Terrace,42.282029,-83.72721,
1005,1846,1433,University Terrace ,Ann Arbor,,1433 University Terrace ,42.282029,-83.72721,
1006,1865,535,University Towers,Ann Arbor,,535 University Towers,42.275233,-83.733361,
1007,1866,,UofM Hospital,Ann Arbor,,UofM Hospital,42.284713,-83.729323,
1008,1870,,Vaughan House,Ann Arbor,,Vaughan House,0,0,unsure
1015,1876,1815,Village Green Lane,Ann Arbor,,1815 Village Green Lane,42.276325,-83.671718,unsure - village green blvd? from google maps
1016,1877,1895,Village Green Lane,Ann Arbor,,1895 Village Green Lane,42.276325,-83.671718,unsure - village green blvd? from google maps
1018,1880,3812,Virginia Park,Ann Arbor,,3812 Virginia Park,0,0,unsure - virginia ave?
1019,1881,1322,Volland St.,Ann Arbor,,1322 Volland St.,42.278548,-83.736494,
1020,1888,125,W. Hoover St.,Ann Arbor,,125 W. Hoover St.,42.269234,-83.751372,west hoover ave?
1023,1890,2181,W. Joy Road,Ann Arbor,,2181 W. Joy Road,42.342664,-83.781295,from google maps
1028,342,6450,W. Michigan Ave.,Ann Arbor,,6450 W. Michigan Ave.,42.194753,-83.711807,
1031,1894,817,W. Summitt St.,Ann Arbor,,817 W. Summitt St.,42.288776,-83.757528,west summit st*
1032,1895,829,W. Washington,Ann Arbor,,829 W. Washington,42.280527,-83.757882,
1033,1907,519,W. Washington,Ann Arbor,,519 W. Washington,42.280493,-83.754703,
1045,489,,Washtenaw and corner of Hill,Ann Arbor,Phi Kappa Psi House ,Washtenaw and corner of Hill,42.27265,-83.726412,
1077,360,605,West Hoover St.,Ann Arbor,,605 West Hoover St.,42.269072,-83.754868,west hoover ave?
1087,1944,1810,West St.adium Blvd.,Ann Arbor,,1810 West St.adium Blvd.,42.266653,-83.769894,
1092,1947,720,Whaley Ct.,Ann Arbor,,720 Whaley Ct.,42.272638,-83.740858,
1098,1955,48,William St.,Ann Arbor,,48 William St.,0,0,unsure east or west
1099,1956,318,William St.,Ann Arbor,,318 William St.,0,0,unsure east or west
1100,1957,403,William St.,Ann Arbor,,403 William St.,0,0,unsure east or west
1101,1959,511,William St.,Ann Arbor,,511 William St.,0,0,unsure east or west
1102,2048,600,William St.,Ann Arbor,,600 William St.,0,0,unsure east or west
1103,2101,519,William St.,Ann Arbor,,519 William St.,0,0,unsure east or west
1112,1966,,Women's League Temporary Dorm,Ann Arbor,,Women's League Temporary Dorm,0,0,unsure
1113,369,3010,Woodland Hills Dr.,Ann Arbor,,3010 Woodland Hills Dr.,42.244904,-83.673287,from google maps
1114,370,3037,Woodland Hills Dr.,Ann Arbor,,3037 Woodland Hills Dr.,42.243534,-83.673006,from google maps
1115,1968,3017,Woodland Hills Dr.,Ann Arbor,,3017 Woodland Hills Dr.,42.243836,-83.673454,from google maps
1116,1969,3027,Woodland Hills Dr.,Ann Arbor,,3027 Woodland Hills Dr.,42.243839,-83673456,from google maps
1117,1970,3024,Woodland Hills Dr.,Ann Arbor,,3024 Woodland Hills Dr.,42.243842,-83.63728,from google maps
1126,784,2324,Woodridge Way-TA,Ann Arbor,,2324 Woodridge Way-TA,42.244903,-83.673294,from google maps
1127,1983,,YWCA,Ann Arbor,,YWCA,0,0,unsure
1128,2190,4621,Artley,Belleville,,4621 Artley,0,0,not in ann arbor
1129,1093,4886,Denton Road,Belleville,,4886 Denton Road,0,0,not in ann arbor
1130,1461,22400,Morley,Dearborn,,22400 Morley,0,0,not in ann arbor
1133,31,4063,23rd St.,Detroit,,4063 23rd St.,0,0,not in ann arbor
1134,2013,5053,23rd St.,Detroit,,5053 23rd St.,0,0,not in ann arbor
