address,Lon,Lat
718 N. 4th,-83.745938,42.28749
Corner of State and Huron,-83.741133,42.28102
914 Packard St.,-83.67111,42.245162
110 N. Thayer St.,-83.739442,42.281624
1007 E. Huron St.,-83.736808,42.281597
1104 Lincoln,-83.729875,42.268618
33 Ashley St.,-83.749978,42.277056
611 N. 4th Ave.,-83.746854,42.285958
700 S. State St.,-83.741031,42.273027
206 Forest Ave.,-83.733534,42.282452
41 Wall St.,-83.736171,42.288269
821 Green St.,-83.74729,42.270669
146 Phillips St.,-83.747707,42.269485
1102 East Ann St.,-83.734856,42.282273
44 East Williams,-83.748691,42.277972
204 N. 5th Ave,-83.745786,42.282569
916 Green St.,-83.747599,42.269731
